genre,month_year,score
Experimental,2002-10,7.5851851851851855
Experimental,2002-11,7.428571428571429
Experimental,2002-12,7.3500000000000005
Experimental,2003-01,7.7250000000000005
Experimental,2003-02,7.28125
Experimental,2003-03,7.094444444444445
Experimental,2003-04,7.465000000000001
Experimental,2003-05,8.09375
Experimental,2003-06,7.554166666666666
Experimental,2003-07,7.5636363636363635
Experimental,2003-08,7.320000000000002
Experimental,2003-09,7.2250000000000005
Experimental,2003-10,7.593749999999999
Experimental,2003-11,7.566666666666666
Experimental,2003-12,7.8
Experimental,2004-01,7.739583333333333
Experimental,2004-02,7.890000000000001
Experimental,2004-03,7.594444444444444
Experimental,2004-04,7.721428571428571
Experimental,2004-05,7.292857142857143
Experimental,2004-06,7.036666666666666
Experimental,2004-07,7.595000000000001
Experimental,2004-08,7.574074074074073
Experimental,2004-09,7.983333333333334
Experimental,2004-10,7.200000000000002
Experimental,2004-11,7.858333333333334
Experimental,2004-12,7.65
Experimental,2005-01,5.828571428571428
Experimental,2005-02,7.516666666666666
Experimental,2005-03,7.25
Experimental,2005-04,6.95
Experimental,2005-05,7.50925925925926
Experimental,2005-06,6.892857142857143
Experimental,2005-07,6.790000000000001
Experimental,2005-08,7.038888888888888
Experimental,2005-09,7.404999999999999
Experimental,2005-10,7.541666666666667
Experimental,2005-11,7.54848484848485
Experimental,2005-12,7.39375
Experimental,2006-01,6.815625
Experimental,2006-02,7.199999999999999
Experimental,2006-03,7.28888888888889
Experimental,2006-04,7.278571428571429
Experimental,2006-05,7.221428571428571
Experimental,2006-06,7.805555555555555
Experimental,2006-07,6.557142857142858
Experimental,2006-08,7.699999999999999
Experimental,2006-09,7.5375000000000005
Experimental,2006-10,7.816666666666666
Experimental,2006-11,6.962499999999999
Experimental,2006-12,7.358333333333333
Experimental,2007-01,7.504166666666666
Experimental,2007-02,7.572727272727272
Experimental,2007-03,8.0
Experimental,2007-04,6.536363636363637
Experimental,2007-05,7.511111111111112
Experimental,2007-06,6.840000000000001
