genre,score,pub_date,name,title,year
Rap,7.3,2020-05-14 05:00:00,Lil Durk,Just Cause Y’all Waited 2,2020
Rap,6.9,2019-08-02 05:00:00,Lil Durk,Love Songs 4 the Streets 2,2019
Rap,7.1,2017-03-14 05:00:00,Lil Durk,Love Songs for the Streets,2017
Rap,7.0,2016-01-08 06:00:02,Lil Durk,300 Days 300 Nights,2016
Rap,7.4,2017-12-15 06:00:00,Lil Durk,Bloodas,2017
Rap,7.4,2017-12-15 06:00:00,Tee Grizzley,Bloodas,2017
Rap,5.6,2015-06-02 06:00:03,Lil Durk,Remember My Name,2015
Rock,6.7,2009-02-17 06:00:05,Fight Bite,Emerald Eyes,2009
Folk_and_Country,7.6,2020-09-10 05:00:00,Colter Wall,Western Swing & Waltzes and Other Punchy Songs,2020
Folk_and_Country,7.6,2018-10-15 05:00:00,Colter Wall,Songs of the Plains,2018
Folk_and_Country,8.0,2017-06-28 05:00:00,Colter Wall,Colter Wall,2017
Rock,7.1,2018-10-01 05:00:00,Mudhoney,Digital Garbage,2018
Rock,6.1,2006-03-05 06:00:02,Mudhoney,Under a Billion Suns,2006
Rock,6.9,2018-01-23 06:00:00,Mudhoney,LiE,2018
Rock,5.2,2002-08-20 05:00:01,Mudhoney,Since We've Become Translucent,2002
Rock,7.4,2013-04-03 06:00:00,Mudhoney,Vanishing Point,2013
Rock,7.5,2000-01-18 06:00:01,Mudhoney,March to Fuzz,2000
Metal,5.7,2008-05-22 05:00:02,Buckshot,The Formula,2008
Pop_and_RnB,5.7,2008-05-22 05:00:02,Buckshot,The Formula,2008
Rap,5.7,2008-05-22 05:00:02,Buckshot,The Formula,2008
Metal,7.8,2005-08-10 06:00:02,Buckshot,Chemistry,2005
Pop_and_RnB,7.8,2005-08-10 06:00:02,Buckshot,Chemistry,2005
Rap,7.8,2005-08-10 06:00:02,Buckshot,Chemistry,2005
Metal,3.9,2009-10-16 06:00:03,Buckshot,Survival Skills,2009
Pop_and_RnB,3.9,2009-10-16 06:00:03,Buckshot,Survival Skills,2009
Rap,3.9,2009-10-16 06:00:03,Buckshot,Survival Skills,2009
Metal,3.9,2009-10-16 06:00:03,KRS-One,Survival Skills,2009
Pop_and_RnB,3.9,2009-10-16 06:00:03,KRS-One,Survival Skills,2009
Rap,3.9,2009-10-16 06:00:03,KRS-One,Survival Skills,2009
Electronic,6.0,2018-09-17 05:00:00,Orbital,Monsters Exist,2018
Electronic,7.5,2012-04-04 06:00:00,Orbital,Wonky,2012
Electronic,7.3,2004-06-30 06:00:03,Orbital,The Blue Album,2004
Electronic,5.2,2001-12-11 06:00:00,Orbital,The Altogether,2001
Electronic,6.7,2021-12-08 05:00:00,Nils Frahm,Old Friends New Friends,2021
Electronic,6.5,2019-10-22 05:00:00,Nils Frahm,All Encores,2019
Electronic,7.8,2014-01-23 06:00:01,Nils Frahm,Spaces,2014
Electronic,7.8,2018-01-24 06:00:00,Nils Frahm,All Melody,2018
Electronic,7.3,2015-04-10 06:00:02,Nils Frahm,Solo,2015
